id,actor_id,movie_id,character_name
1428,6856,296524,Colonel Jonathan “Jack” O'Neil
1429,6856,337339,Colonel Jonathan “Jack” O'Neil
1430,13548,2164,Dr. Daniel Jackson
1431,13548,72976,Dr. Daniel Jackson
1432,13548,99861,Dr. Daniel Jackson
1433,228173,2164,Ra
1434,22137,2164,Catherine
1435,22138,2164,Skaara
1436,15441,2164,Sha'uri
1437,15374,2164,General W.O. West
1438,15374,2024,General W.O. West
1439,4942,2164,Lieutenant Kawalsky
1440,4942,37094,Lieutenant Kawalsky
1441,4942,676,Lieutenant Kawalsky
1442,67711,2164,Lieutenant Ferretti
1443,22139,2164,Anubis
1444,938,2164,Horus
1445,938,98,Horus
1446,938,561,Horus
1447,938,1635,Horus
1448,938,1372,Horus
1449,938,82702,Horus
1450,938,118340,Horus
1451,938,168259,Horus
1452,938,274857,Horus
1453,18917,2164,Kasuf
1454,18917,602,Kasuf
1455,18917,564,Kasuf
1456,18917,28178,Kasuf
1457,157029,2164,Brown
1458,157029,602,Brown
1459,145531,2164,Freeman
1460,145531,329,Freeman
1461,145531,2649,Freeman
1462,145531,550,Freeman
1463,1179059,2164,Nabeh
1464,504,278,Ed Walters
1465,504,744,Ed Walters
1466,504,322,Ed Walters
1467,504,8699,Ed Walters
1468,4029,278,Burton Quinn
1469,4029,10312,Burton Quinn
1470,4029,50348,Burton Quinn
1471,4029,68734,Burton Quinn
1472,6574,278,State Trooper
1473,6574,563,State Trooper
1474,6574,68735,State Trooper
1475,6576,278,Bogs Diamond
1476,6576,679,Bogs Diamond
1477,6576,942,Bogs Diamond
1478,6576,2109,Bogs Diamond
1479,6576,1422,Bogs Diamond
1480,6577,278,Brooks Hatlen
1481,6577,871,Brooks Hatlen
1482,6575,278,Tommy
1483,6573,278,Heywood
1484,6573,1573,Heywood
1485,6573,497,Heywood
1486,6573,5123,Heywood
1487,6573,5876,Heywood
1488,6573,68721,Heywood
1489,12645,278,1946 D.A.
1490,12645,497,1946 D.A.
1491,12645,5876,1946 D.A.
1492,92119,278,Detective Nunzio
1493,92119,275,Detective Nunzio
1494,92119,117,Detective Nunzio
1495,168323,278,Jigger
1496,2555,278,Siegfried
1497,5063,278,Ernie
1498,8693,278,Guard Mert
1499,8693,594,Guard Mert
1500,8693,70,Guard Mert
1501,8693,187,Guard Mert
1502,32393,278,Guard Trout
1503,32393,5548,Guard Trout
1504,6193,1587,Jim Carroll
1505,6193,454,Jim Carroll
1506,6193,597,Jim Carroll
1507,6193,3131,Jim Carroll
1508,6193,640,Jim Carroll
1509,6193,2567,Jim Carroll
1510,6193,1422,Jim Carroll
1511,6193,1372,Jim Carroll
1512,6193,11324,Jim Carroll
1513,6193,27205,Jim Carroll
1514,6193,68718,Jim Carroll
1515,6193,64682,Jim Carroll
1516,6193,106646,Jim Carroll
1517,6193,281957,Jim Carroll
1518,17768,1587,Bonnie Grape
1519,2453,1587,Jessie Caldwell
1520,2453,9800,Jessie Caldwell
1521,2453,196,Jessie Caldwell
1522,2453,18240,Jessie Caldwell
1523,2453,50014,Jessie Caldwell
1524,17769,1587,Amy Grape
1525,17769,1813,Amy Grape
1526,4764,1587,Const. Frank Stamshaw
1527,4764,4995,Const. Frank Stamshaw
1528,4764,8741,Const. Frank Stamshaw
1529,4764,334,Const. Frank Stamshaw
1530,4764,3131,Const. Frank Stamshaw
1531,4764,2567,Const. Frank Stamshaw
1532,4764,12244,Const. Frank Stamshaw
1533,4764,71859,Const. Frank Stamshaw
1534,4764,72113,Const. Frank Stamshaw
1535,4764,82690,Const. Frank Stamshaw
1536,4764,118340,Const. Frank Stamshaw
1537,4764,254320,Const. Frank Stamshaw
1538,4764,335797,Const. Frank Stamshaw
1539,17770,1587,Ken Carver
1540,1064,1587,Bobby McBurney
1541,1064,105,Bobby McBurney
1542,1064,165,Bobby McBurney
1543,1064,12244,Bobby McBurney
1544,1064,12155,Bobby McBurney
1545,1375991,1587,Ministre
1546,1375994,1587,Dave
1547,215830,1587,Doug Carver
1548,79008,1587,l'employée de la boulangerie
1549,79008,85350,l'employée de la boulangerie
1550,172680,1587,la grand-mère de Becky
1551,1376009,1587,la secrétaire de la Police
1552,57700,9495,Eric Draven
1553,57701,9495,Sarah
1554,8874,9495,Reggie
1555,8874,620,Reggie
1556,7486,9495,Philo Gant
1557,7486,9016,Philo Gant
1558,39126,9495,Myca
1559,42649,9495,Shelly Webster
1560,1737,9495,T-Bird
1561,1737,167,T-Bird
1562,1737,245891,T-Bird
1563,1737,324552,T-Bird
1564,37207,9495,Skank
1565,65141,9495,Paul Cook / 'Lord Nikon'
