id,name,department,job,profile_path
1460786,Stephanie Rossel,Directing,Script Supervisor,
44029,Fabienne Rawley,Editing,Editor,
94534,Jason Clark,Production,Executive Producer,
937235,Dan Abrams,Visual Effects,Visual Development,/kn4xZeV9I37gl23t7dgyVgT4y2e.jpg
1425338,Mariana Sánchez de Antuñano,Camera,Camera Operator,
1439726,Stephen Enticott,Visual Effects,Animation,
1452643,Roxane Griffin,Costume & Make-Up,Hair Setup,
1453550,Chris Appelhans,Art,Conceptual Design,
1455542,William R. Wright,Visual Effects,Animation,
1462666,Josh LaBrot,Directing,Layout,
17830,Bridget McGuire,Art,Art Direction,
17831,Grant Van Der Slagt,Art,Art Direction,
19689,Paul Schnee,Production,Casting,
989235,Andrea Berloff,Writing,Writer,/dWVd6RosbkkoI6WdeeaMMKeoGW7.jpg
1525977,Natalie Arango,Costume & Make-Up,Set Costumer,
23539,Zach Helm,Writing,Screenplay,/qjXdGnMAoNIcsqBfqpa7hoB7gIx.jpg
52451,Kelli Konop,Production,Executive In Charge Of Production,
86591,Craig Jackson,Art,Art Direction,
86597,James Giovannetti Jr.,Directing,Assistant Director,
1254828,C. Cory M. McCrum-Abdo,Crew,Post Production Supervisor,
1357817,Britt Daniel,Sound,Original Music Composer,
1563754,Alyson Latz,Directing,Other,
1563756,Michael Lerman,Directing,Assistant Director,/pQ1ZbVYkHiFy8tumDvJg2TaLRnX.jpg
1563757,Peter Thorell,Directing,Assistant Director,
1402006,Steve Durkee,Sound,Music Editor,
1462841,Thierry J. Couturier,Editing,Dialogue Editor,
20646,Gabriele Muccino,Directing,Director,/uU23lwEwz3TnHl0DvvyePpaGuEG.jpg
56094,David Alper,Production,Executive Producer,
72051,Domenico Procacci,Crew,Thanks,/t5XBAj5QmuO9wTTxEECcYl3iQeN.jpg
1392621,John Breinholt,Editing,First Assistant Editor,
1532610,Bob Hall,Camera,First Assistant Camera,
1627324,Antongiulio Frulio,Sound,Orchestrator,
1538148,Alexandra Patsavas,Sound,Music Supervisor,
20192,Brian Taylor,Writing,Screenplay,/vZNbqjzN4g8pJ3uKEeXYfHjkfYN.jpg
20193,Mark Neveldine,Writing,Screenplay,/yYxvvbcRGT4VviKjgb9iTorlOYA.jpg
52790,Eric Reid,Production,Executive Producer,
1002641,Adam Biddle,Camera,Director of Photography,
1046971,Ted Gidlow,Production,Production Supervisor,
1113493,Ramy Katrib,Visual Effects,Visual Effects Producer,
1113495,Lakan De Leon,Crew,Visual Effects Editor,
1185063,Wayne Springfield,Art,Construction Coordinator,
1341784,Vince Nicastro,Sound,Foley,
1378454,Keith Morgan,Lighting,Rigging Gaffer,
1387217,Wendy Means,Art,Art Department Coordinator,
1400877,Janet Ingram,Costume & Make-Up,Costume Supervisor,
1414489,Yvonne Depatis-Kupka,Costume & Make-Up,Hairstylist,
1414490,Annette Lorant,Costume & Make-Up,Makeup Artist,
1414491,Guy Himber,Crew,Makeup Effects,
1414500,Bruce Fuselier,Art,Leadman,
1414505,Roger Prater,Art,Greensman,
1414524,Chris Lum,Crew,Video Assist Operator,
1414526,David Marks,Visual Effects,Animation Director,
1414527,Liz Donovan,Costume & Make-Up,Set Costumer,
1414529,Gloria Maroun,Costume & Make-Up,Set Costumer,
1414531,Jackson Yu,Editing,First Assistant Editor,
1414535,Christopher Regan,Production,Publicist,
1409744,Dean Heselden,Camera,Steadicam Operator,
1447450,Ivaylo Anguelov,Directing,Layout,
1447481,Andre Medina,Visual Effects,Animation,
29214,Anne Fletcher,Directing,Director,/piR4AwJX9lqJt454iVsI7sQf6Y0.jpg
51690,David Garrett,Production,Executive Producer,
54511,Bob Hayward,Production,Executive Producer,
56855,Melissa Rosenberg,Writing,Screenplay,/m9CQrt8k8RXox97E1sHcDWhRTId.jpg
224387,Rich Mento,Production,Casting,
410027,Susan Kessel,Art,Set Decoration,
1562724,Kim Garman,Art,Art Department Coordinator,
29014,Nick Osborne,Production,Executive Producer,
224386,Trevor Engelson,Production,Executive Producer,
53069,Anna Boden,Editing,Editor,/h5YMXdI42zb0uqn5UJHF4fT9AER.jpg
53071,Doug Dey,Production,Executive Producer,
53072,Hunter Gray,Production,Executive Producer,
53073,Lynette Howell,Production,Producer,
53077,Alex Orlovsky,Production,Producer,
53078,Jamie Patricof,Production,Producer,
53649,Andrij Parekh,Camera,Director of Photography,
69881,Paul Brett,Production,Executive Producer,
56095,Gary Hamilton,Production,Executive Producer,
1551776,Tom McComas,Crew,Stunt Coordinator,
17329,Neil Burger,Writing,Screenplay,/eUDHt2OWYnCwC8FOVIgU2uTPK3x.jpg
27680,Steven Millhauser,Writing,Novel,
548447,Roman Tudzaroff,Visual Effects,Special Effects Supervisor,
962085,Ondrej Nekvasil,Art,Production Design,
1304287,Stefan Kovacik,Art,Art Direction,
1384895,Chris Miller,Crew,Post-Production Manager,
1410162,Ladislav Lahoda,Crew,Stunt Coordinator,
1463199,Vlasta Svoboda,Art,Art Direction,
1463200,Petra Hábová,Art,Set Decoration,
1505341,Lucie Burianová,Directing,Assistant Director,
15726,Christine Langan,Production,Producer,/ov654QaxZXb5ZeSrvfeu39ZNB2.jpg
15729,Cameron McCracken,Production,Executive Producer,
15730,Peter Morgan,Writing,Author,/gxmjM2MQ2HmGPKHrbkqBrl1ZXaH.jpg
1544363,Pani Ahmadi-Moore,Editing,First Assistant Editor,
19758,Frank G. DeMarco,Camera,Director of Photography,
51675,Finola Dwyer,Production,Producer,
63010,Zsuzsa Mihalek,Art,Set Decoration,
16834,Allen Coulter,Directing,Director,/cZ64hDVOFLo9757TD3sbuv4oBRU.jpg
60890,Marc Silvestri,Production,Producer,
60893,Pierre Perrault,Art,Art Direction,
52803,Etan Cohen,Writing,Screenplay,/x4OA0VvljTVemWDqRyYtCHL0Ipl.jpg
16836,Ari Handel,Writing,Author,
38805,Andrew Weisblum,Crew,Visual Effects Editor,
1204225,Brent Lambert,Art,Set Designer,
1327222,Philippe Lord,Art,Set Decoration,
1384359,Félix Larivière-Charron,Art,Set Designer,
1394748,Stephen Gilbert,Crew,Special Effects Coordinator,
1394751,Persis Reynolds,Visual Effects,Visual Effects Producer,
1394757,John Lewin,Lighting,Gaffer,
1401790,Jenny Foster,Visual Effects,Visual Effects Producer,
17655,Farhad Safinia,Writing,Writer,
42007,Vicki Christianson,Production,Executive Producer,
42028,Vittorio Sodano,Costume & Make-Up,Makeup Artist,
42039,Joseph Martens,Lighting,Best Boy Electric,
1400333,Antonio Gómez Capetillo,Art,Sculptor,
1400334,Antonio Gómez,Art,Sculptor,
1400335,Juan José Martínez,Art,Sculptor,
1400336,Jose Luis Mendez Ramirez,Art,Construction Coordinator,
1400345,Jamie Venable,Visual Effects,Visual Effects Producer,
1400349,Alan Kelvin Contreras,Camera,Steadicam Operator,
1400350,Javier Delgado,Costume & Make-Up,Set Costumer,
1400351,Mariana Mechoulam,Costume & Make-Up,Set Costumer,
1400352,Jose Luis Montero,Costume & Make-Up,Set Costumer,
1400353,Africa Zayas,Costume & Make-Up,Set Costumer,
1400357,Rulan Tangen,Crew,Choreographer,
1400358,Fernando Uriegas,Production,Location Manager,
1400359,Blaise Noto,Production,Publicist,
1401642,Teresa Hinton,Costume & Make-Up,Wigmaker,
1643668,Roberto Ortiz,Costume & Make-Up,Prosthetic Supervisor,
1024842,Billy A. Campbell,Crew,Visual Effects Editor,
1233684,Johnny Lockwood,Visual Effects,Visual Effects Supervisor,
1335559,Dominic Gibbs,Sound,Music Editor,
1392627,Steve Street,Visual Effects,Visual Effects Supervisor,
